kind,name,url,local_path,version_or_commit,scope
repository,Ariel-Flint-Ashery/AI-norms,https://github.com/Ariel-Flint-Ashery/AI-norms,repositories/Ariel-Flint-Ashery__AI-norms,e57aeef151a46108fd1521c66e345e557e57dbf6,Decentralized convention formation
repository,Darwin-Agent/topological-collapse-agent-societies,https://github.com/Darwin-Agent/topological-collapse-agent-societies,repositories/Darwin-Agent__topological-collapse-agent-societies,8ac23d47e757da163de4ea933912db3f250808f8,Population topology and evidence relay
repository,EvoMap/awesome-agent-swarm,https://github.com/EvoMap/awesome-agent-swarm,repositories/EvoMap__awesome-agent-swarm,a711ddb56ba3ae0ac908736f4a98ddf7efc38a8f,Discovery index
repository,FLAIROx/cultural-accumulation,https://github.com/FLAIROx/cultural-accumulation,repositories/FLAIROx__cultural-accumulation,6b0df15bf46d4453d1974dde7af04102a77819b2,Non-LLM cultural-learning precursor
repository,Gen-Verse/LatentMAS,https://github.com/Gen-Verse/LatentMAS,repositories/Gen-Verse__LatentMAS,9a9e4d331eb11430bd9e64754c6b252b06d73031,Communication component
repository,MoonshotAI/Kimi-K2.5,https://github.com/MoonshotAI/Kimi-K2.5,repositories/MoonshotAI__Kimi-K2.5,c119f68d1a9a13f88f6a59b8e5e0840983b22689,Orchestrated swarm
repository,Pold87/LLM2Swarm,https://github.com/Pold87/LLM2Swarm,repositories/Pold87__LLM2Swarm,27e91237b980e24adbb136f9e841a3a25b40f1e6,Robot swarm prototype
repository,RUC-GSAI/YuLan-SwarmIntell,https://github.com/RUC-GSAI/YuLan-SwarmIntell,repositories/RUC-GSAI__YuLan-SwarmIntell,c164678ff8511b65b452140d050829c715e1ad86,Decentralized swarm benchmark
repository,SALT-NLP/DyLAN,https://github.com/SALT-NLP/DyLAN,repositories/SALT-NLP__DyLAN,006e440a519f7cf21e2826f3b8033d84ae9bf07c,Adaptive population component
repository,Search-Swarm/SearchSwarm,https://github.com/Search-Swarm/SearchSwarm,repositories/Search-Swarm__SearchSwarm,07d071a51222d11b00565a03daa82e6eae8aace3,Orchestrated swarm
repository,YanwenPneg/StateBridge,https://github.com/YanwenPneg/StateBridge,repositories/YanwenPneg__StateBridge,3f6bf5442c6e8848555a6132516e6d36f35444fb,Communication component
repository,YaoZ720/SwarmAgenticCode,https://github.com/YaoZ720/SwarmAgenticCode,repositories/YaoZ720__SwarmAgenticCode,d7346ed6c56cecdfb8244c7c4b5276a983010b91,Optimizer-level swarm
repository,Yassellee/HiddenBench_ICML,https://github.com/Yassellee/HiddenBench_ICML,repositories/Yassellee__HiddenBench_ICML,3be6ca16973e4fb751ffc0dfb7eb11f2d28335d1,Distributed-information diagnostic
repository,camel-ai/oasis,https://github.com/camel-ai/oasis,repositories/camel-ai__oasis,0004f5bfd61194324cb40623fa9b2578daf9aec9,Social-swarm simulation
repository,cognizant-ai-lab/terralingua,https://github.com/cognizant-ai-lab/terralingua,repositories/cognizant-ai-lab__terralingua,bf276dbe33e66b2c3b592df27df8ca42c489a4c7,Persistent decentralized swarm
repository,davidthfarr/agent2agent,https://github.com/davidthfarr/agent2agent,repositories/davidthfarr__agent2agent,3c73c4c388e7d09bef96bd49ed58a9f7593d7a50,Non-LLM swarm control
repository,deeplearning-wisc/debate-or-vote,https://github.com/deeplearning-wisc/debate-or-vote,repositories/deeplearning-wisc__debate-or-vote,82c929ea773d534cfb3fb0ddc4b7d14d245ab549,Interaction control
repository,desplega-ai/agent-swarm,https://github.com/desplega-ai/agent-swarm,repositories/desplega-ai__agent-swarm,99d4213ec439c99030baaa7603b382dfb0d5bb7e,Orchestrated swarm engineering
repository,doublewordai/swarm,https://github.com/doublewordai/swarm,repositories/doublewordai__swarm,ec43103a79bb0eee1b8a65553c45251c73d18799,Orchestrated swarm
repository,gensyn-ai/collaborative-autoresearch-demo,https://github.com/gensyn-ai/collaborative-autoresearch-demo,repositories/gensyn-ai__collaborative-autoresearch-demo,50d3e1321621841c480a195359dbf3359d883217,Peer experiment and method sharing
repository,giordano-demarzo/moltbook-api-crawler,https://github.com/giordano-demarzo/moltbook-api-crawler,repositories/giordano-demarzo__moltbook-api-crawler,37c77805b6a06d1357ffecf131e2a76d6bb071d6,Open social-swarm analysis
repository,hauertlab/swarm_llm,https://bitbucket.org/hauertlab/swarm_llm,repositories/hauertlab__swarm_llm,e8bb0f3834affa35504b0cb2b4b6bab0a9c422d1,Minimal social swarm with decaying memory
repository,human-vc/moltbook-audit,https://github.com/human-vc/moltbook-audit,repositories/human-vc__moltbook-audit,7fcc2c3e1c4f11368676a508c72cfa7fcdd7a6f0,Social collective-benefit audit
repository,kyegomez/swarms,https://github.com/kyegomez/swarms,repositories/kyegomez__swarms,862d5e44e4e8c030e9f13170bbbb35137d7cfbf2,Swarm-branded implementation collection
repository,lamm-mit/SwarmWorld,https://github.com/lamm-mit/SwarmWorld,repositories/lamm-mit__SwarmWorld,6af7ae9fa36d98b07b0492cf139658e8af1f6eab,Persistent decentralized swarm
repository,metauto-ai/gptswarm,https://github.com/metauto-ai/gptswarm,repositories/metauto-ai__gptswarm,c23a827f561c934ce21dd950408f7606aa4a8821,Swarm topology optimization
repository,safety-research/automated-w2s-research,https://github.com/safety-research/automated-w2s-research,repositories/safety-research__automated-w2s-research,79a0562fa1a2c246048ed7c009f3684907987b05,Research swarm
repository,searchsim-org/moltbook-analysis,https://github.com/searchsim-org/moltbook-analysis,repositories/searchsim-org__moltbook-analysis,4b299964439f362dd4000a2035f553c333dafaf4,Social knowledge-diffusion audit
repository,swarmclawai/swarmfeed,https://github.com/swarmclawai/swarmfeed,repositories/swarmclawai__swarmfeed,a1bb54c4f42c7bbd70cbf80a43a33daff86c9e08,Social-swarm attention substrate
repository,tianyi-lab/Moltbook_Socialization,https://github.com/tianyi-lab/Moltbook_Socialization,repositories/tianyi-lab__Moltbook_Socialization,8c27d01dbb2992a68136e8dd427ed7c35d2f0583,Open social-swarm analysis
repository,togethercomputer/EinsteinArena-new-SOTA,https://github.com/togethercomputer/EinsteinArena-new-SOTA,repositories/togethercomputer__EinsteinArena-new-SOTA,c388c6f7408c886311940896713339a1a70c2394,Open collaborative-discovery artifacts
repository,wangzx1219/AgentDropout,https://github.com/wangzx1219/AgentDropout,repositories/wangzx1219__AgentDropout,855befab08df60ac734c9608b3b2f317ce687e6e,Communication component
repository,wuzengqing001225/scale_limits_agent_societies,https://github.com/wuzengqing001225/scale_limits_agent_societies,repositories/wuzengqing001225__scale_limits_agent_societies,5d57eeb3a0257b44590cf913b66409dc3fd3ae80,Scale limits of social mechanisms
repository,yanweiyue/AgentPrune,https://github.com/yanweiyue/AgentPrune,repositories/yanweiyue__AgentPrune,c544dd6a1858c02c6d5d371d23c6e6ff55e0be21,Communication component
repository,zoe-yyx/AgentNet,https://github.com/zoe-yyx/AgentNet,repositories/zoe-yyx__AgentNet,325d39f2a940be5fa903d28c411bd3426b8007f5,Decentralized coordination
